Date,MeanTemp,GHG emmisions
1887-03-06,-0.1655,46507296.02
1887-04-06,-0.37,51185800.46
1887-04-06,-0.1899,52901198.78
1887-05-06,-0.33,51849076.35
1887-05-06,-0.239,47703865.72
1887-06-06,-0.21,51427982.82
1887-06-06,-0.2149,47869275.92
1887-07-06,-0.19,47628750.89
1887-07-06,-0.2707,51587054.86
1887-08-06,-0.28,49857196.42
1887-08-06,-0.3148,47467978.12
1887-09-06,-0.19,47605752.31
1887-09-06,-0.1827,50853708.92
1887-10-06,-0.32,50435863.14
1887-10-06,-0.2995,54331452.73
1887-11-06,-0.25,49065418.83
1887-11-06,-0.1572,51358530.04
1887-12-06,-0.38,47060157.67
1887-12-06,-0.1988,49979997.09
1888-01-06,-0.43,48165748.48
1888-01-06,-0.3871,51789010.55
1888-02-06,-0.43,47340455.07
1888-02-06,-0.3288,50299091.82
1888-03-06,-0.47,47709030.64
1888-03-06,-0.2974,50615274.85
1888-04-06,-0.28,53016032.71
1888-04-06,-0.1761,49145836.14
1888-05-06,-0.22,46697256.35
1888-05-06,-0.1561,52528916.79
1888-06-06,-0.2,54108123.99
1888-06-06,-0.0943,48907238.28
1888-07-06,-0.1,49645250.99
1888-07-06,-0.1149,48047886.03
1888-08-06,-0.11,52533178.37
1888-08-06,-0.1633,52360597.94
1888-09-06,-0.07,48296157.65
1888-09-06,-0.069,48605801.56
1888-10-06,0.01,47556338.09
1888-10-06,0.019,48721186.54
1888-11-06,0,46856827.24
1888-11-06,-0.0418,47024298.55
1888-12-06,-0.12,51882360.47
1888-12-06,0.0445,49953514.89
1889-01-06,-0.21,50870909
1889-01-06,-0.0944,58720939.82
1889-02-06,0.14,56834172.6
1889-02-06,0.0152,54518240.76
1889-03-06,0.04,52554290.11
1889-03-06,0.1207,54191602.11
1889-04-06,0.04,55208870.37
1889-04-06,0.0496,52184184.61
1889-05-06,-0.03,53320793.16
1889-05-06,-0.0326,50305501.3
1889-06-06,-0.12,55745494.22
1889-06-06,-0.0698,54081217.88
1889-07-06,-0.05,57278919.65
1889-07-06,-0.1604,50539884.17
1889-08-06,-0.18,50734631.1
1889-08-06,-0.137,56771468.91
1889-09-06,-0.18,50665249.21
1889-09-06,-0.2264,54261255.65
1889-10-06,-0.22,56454656.81
1889-10-06,-0.1913,52214677.41
1889-11-06,-0.32,53887122.55
1889-11-06,-0.2769,53835672.57
1889-12-06,-0.31,55906485.62
1889-12-06,-0.175,57378419.41
1890-01-06,-0.48,56159674.43
1890-01-06,-0.3594,53599534.14
1890-02-06,-0.48,52259976.41
1890-02-06,-0.4268,59980265.35
1890-03-06,-0.41,58280420.62
1890-03-06,-0.3189,56429860
1890-04-06,-0.38,60147978.13
1890-04-06,-0.2588,59599203.54
1890-05-06,-0.48,56391221.68
1890-05-06,-0.3892,57049555.1
1890-06-06,-0.27,55887947.59
1890-06-06,-0.2875,57352830.32
1890-07-06,-0.3,57703296.13
1890-07-06,-0.2802,55628233.27
1890-08-06,-0.36,55382160.71
1890-08-06,-0.3257,58146989.65
1890-09-06,-0.36,57982794.66
1890-09-06,-0.3508,54171550.81
1890-10-06,-0.23,58371133.37
1890-10-06,-0.2941,55418465.05
1890-11-06,-0.37,56205843.43
1890-11-06,-0.3419,60179679.47
1890-12-06,-0.3,51311772.4
1890-12-06,-0.2302,55240491.74
1891-01-06,-0.46,55447536.44
1891-01-06,-0.3772,55880071.47
1891-02-06,-0.49,59135438.42
1891-02-06,-0.5228,61503146.7
1891-03-06,-0.15,57472456.48
1891-03-06,-0.212,54275991.81
1891-04-06,-0.25,55245185.89
1891-04-06,-0.2523,54456565.17
1891-05-06,-0.17,57020933.53
1891-05-06,-0.1374,55352002.94
1891-06-06,-0.22,54422528.63
1891-06-06,-0.2023,53792417.48
1891-07-06,-0.22,54366506.05
1891-07-06,-0.2264,61524804.98
1891-08-06,-0.21,57153539.53
1891-08-06,-0.2313,61699559.46
1891-09-06,-0.13,58490251.41
1891-09-06,-0.1514,58466537.49
1891-10-06,-0.24,56902551.46
1891-10-06,-0.2861,52603286.18
1891-11-06,-0.37,60511102.96
1891-11-06,-0.3968,56644311.91
1891-12-06,-0.03,58602928.44
1891-12-06,-0.0421,59114968.17
1892-01-06,-0.26,56982101.67
1892-01-06,-0.2372,55781551.61
1892-02-06,-0.15,59858576.52
1892-02-06,-0.1353,59816850.95
1892-03-06,-0.36,59464998.39
1892-03-06,-0.3032,60844880.32
1892-04-06,-0.35,54928105.99
1892-04-06,-0.3203,54747183.34
1892-05-06,-0.25,60735214.61
1892-05-06,-0.3081,53038438.64
1892-06-06,-0.2,55628919.24
1892-06-06,-0.2831,60883069.99
1892-07-06,-0.28,57301172.03
1892-07-06,-0.3497,55226021.59
1892-08-06,-0.2,55951000.31
1892-08-06,-0.3279,54640479.86
1892-09-06,-0.25,54226602.17
1892-09-06,-0.2198,52482391.46
1892-10-06,-0.17,52248918.96
1892-10-06,-0.2464,53582124.1
1892-11-06,-0.49,60299631.31
1892-11-06,-0.4728,55129273.29
1892-12-06,-0.29,55984395.21
1892-12-06,-0.4708,53894526.45
1893-01-06,-0.69,53254758.81
1893-01-06,-0.6796,57663255.21
1893-02-06,-0.51,58098966.09
1893-02-06,-0.6107,60884163.84
1893-03-06,-0.24,55050268.17
1893-03-06,-0.2218,55343189.91
1893-04-06,-0.32,62375375.67
1893-04-06,-0.35,61405490.99
1893-05-06,-0.35,62673462.87
1893-05-06,-0.3421,58319431.86
1893-06-06,-0.24,57882985.18
1893-06-06,-0.2405,60100573.91
1893-07-06,-0.14,60552443.93
1893-07-06,-0.2018,56887477.61
1893-08-06,-0.24,61519976.97
1893-08-06,-0.3281,59243169.65
1893-09-06,-0.18,54982186.56
1893-09-06,-0.2587,54225879.33
1893-10-06,-0.16,56765377.36
1893-10-06,-0.2099,53830422.54
1893-11-06,-0.17,62076347.78
1893-11-06,-0.1657,55049216.34
1893-12-06,-0.38,62555249.96
1893-12-06,-0.2452,60126496.43
1894-01-06,-0.55,62291027.23
1894-01-06,-0.436,58973021.25
1894-02-06,-0.31,62862474.04
1894-02-06,-0.2215,57130480.23
1894-03-06,-0.2,64419376.21
1894-03-06,-0.2064,65697710.95
1894-04-06,-0.41,63889815.72
1894-04-06,-0.3023,64705680.94
1894-05-06,-0.3,62793319.34
1894-05-06,-0.3018,65918334.91
1894-06-06,-0.43,64147428.16
1894-06-06,-0.3487,56726981.7
1894-07-06,-0.32,64073678.04
1894-07-06,-0.2738,62266142.84
1894-08-06,-0.29,64621248.99
1894-08-06,-0.2735,56953670.92
1894-09-06,-0.23,58741066.99
1894-09-06,-0.2531,60173050.51
1894-10-06,-0.17,62462879.27
1894-10-06,-0.2135,60418388.32
1894-11-06,-0.25,60616551.88
1894-11-06,-0.2979,59762354.07
1894-12-06,-0.22,63168228
1894-12-06,-0.2412,62470545.51
1895-01-06,-0.44,67079394.15
1895-01-06,-0.4389,62018023.34
1895-02-06,-0.42,61898291.48
1895-02-06,-0.4136,65807962.33
1895-03-06,-0.3,64166678.23
1895-03-06,-0.2879,65691611.04
1895-04-06,-0.23,62441367.54
1895-04-06,-0.1868,64350488.22
1895-05-06,-0.23,59514382.33
1895-05-06,-0.2076,61045784.88
1895-06-06,-0.25,64246114.37
1895-06-06,-0.2938,67545052.77
1895-07-06,-0.16,67330331.8
1895-07-06,-0.201,64257455.49
1895-08-06,-0.16,58750707.32
1895-08-06,-0.2243,63638683.38
1895-09-06,-0.02,66867433.43
1895-09-06,-0.1329,60003291.26
1895-10-06,-0.11,66214044.19
1895-10-06,-0.1317,63609035.91
1895-11-06,-0.15,67566062.3
1895-11-06,-0.1602,60462228.71
1895-12-06,-0.12,61378480.94
1895-12-06,-0.069,67830396.61
1896-01-06,-0.23,65435425.72
1896-01-06,-0.1056,65673190.52
1896-02-06,-0.15,65947467.94
1896-02-06,-0.0789,62082781.65
1896-03-06,-0.29,68454750.67
1896-03-06,-0.2079,65555681.41
1896-04-06,-0.33,71688109.38
1896-04-06,-0.266,68929077.7
1896-05-06,-0.19,64813731.06
1896-05-06,-0.1042,65130863.21
1896-06-06,-0.13,64482697.23
1896-06-06,-0.0925,71215318.57
1896-07-06,-0.06,69695656.09
1896-07-06,-0.0509,66241572.34
1896-08-06,-0.09,69838386.41
1896-08-06,-0.0723,66978505.94
1896-09-06,-0.05,63170428.41
1896-09-06,-0.0679,62900548.69
1896-10-06,0.04,71324299.28
1896-10-06,-0.0056,69053059.94
1896-11-06,-0.16,65623130.88
1896-11-06,-0.1659,63839348.88
1896-12-06,-0.12,70022851.68
1896-12-06,0.049,68216110.39
1897-01-06,-0.22,74074917.67
1897-01-06,-0.1857,67902273.04
1897-02-06,-0.19,73150700.75
1897-02-06,-0.1086,74554608.32
1897-03-06,-0.12,73032126.68
1897-03-06,-0.1863,71098438.5
1897-04-06,-0.01,63442918.65
1897-04-06,-0.0032,63462079.09
1897-05-06,0,66875783.8
1897-05-06,-0.0256,71525938.13
1897-06-06,-0.12,65949351.41
1897-06-06,-0.1,69841630.13
1897-07-06,-0.04,72823303.81
1897-07-06,-0.0401,74756880.19
1897-08-06,-0.03,69954722.37
1897-08-06,-0.0735,68993413.29
1897-09-06,-0.04,66092012.14
1897-09-06,-0.0247,74784571.39
1897-10-06,-0.1,74814951.78
1897-10-06,-0.1608,71108701.48
1897-11-06,-0.18,73344768.73
1897-11-06,-0.2619,65575964.21
1897-12-06,-0.26,72608572.34
1897-12-06,-0.2989,74511234.1
1898-01-06,-0.06,80026172.71
1898-01-06,-0.0399,72593137.74
1898-02-06,-0.34,82054369.51
1898-02-06,-0.2785,82814812.36
1898-03-06,-0.55,80024780.35
1898-03-06,-0.6515,76410772.3
1898-04-06,-0.33,71752460.35
1898-04-06,-0.3467,72761921.66
1898-05-06,-0.35,73754593.32
1898-05-06,-0.2887,74506027.29
1898-06-06,-0.2,81075226.44
1898-06-06,-0.2078,73489631.72
1898-07-06,-0.22,82425948.67
1898-07-06,-0.2426,72551514.13
1898-08-06,-0.22,71823924.93
1898-08-06,-0.2306,77943320.56
1898-09-06,-0.19,74868636.23
1898-09-06,-0.1968,80471754.18
1898-10-06,-0.32,72873324.8
1898-10-06,-0.3234,82939244.79
1898-11-06,-0.35,79959984.16
1898-11-06,-0.2417,82049527.05
1898-12-06,-0.22,75566751.56
1898-12-06,-0.0073,76170933.2
1899-01-06,-0.18,86010835.3
1899-01-06,-0.1005,75172459.51
1899-02-06,-0.39,83446117.66
1899-02-06,-0.2787,75238761.02
1899-03-06,-0.35,82435864.56
1899-03-06,-0.2549,80460659.9
1899-04-06,-0.21,81407324.36
1899-04-06,-0.1946,87751745.82
1899-05-06,-0.2,84771387.66
1899-05-06,-0.1203,85102781.91
1899-06-06,-0.26,74932428.39
1899-06-06,-0.1977,76610182.46
1899-07-06,-0.13,76359567.93
1899-07-06,-0.1259,83299420.28
1899-08-06,-0.04,80998279.12
1899-08-06,-0.0664,79122029.2
1899-09-06,0,79668510.69
1899-09-06,-0.0307,84900191.73
1899-10-06,0,85459414.53
1899-10-06,-0.0241,83204336.38
1899-11-06,0.12,87819174.63
1899-11-06,0.1523,88374051.68
1899-12-06,-0.27,76067682.1
1899-12-06,-0.1656,75001008.19
06/01/1900,-0.4,89534167.85
06/01/1900,-0.2404,82621107.2
06/02/1900,-0.08,89921281.24
06/02/1900,-0.0934,80483780.95
06/03/1900,0.02,84933834.73
06/03/1900,-0.0402,85407717.48
06/04/1900,-0.14,86438333.53
06/04/1900,-0.0985,80362574.93
06/05/1900,-0.06,76546092.08
06/05/1900,-0.0371,85434213.35
06/06/1900,-0.15,86242366.55
06/06/1900,-0.045,87063935.04
06/07/1900,-0.09,89217944.48
06/07/1900,-0.0728,82803317.32
06/08/1900,-0.04,77935635.86
06/08/1900,-0.0708,84853411.45
06/09/1900,0.01,83885362.12
06/09/1900,-0.06,86309395.02
06/10/1900,0.08,81282328.72
06/10/1900,0.0464,81950665.19
06/11/1900,-0.13,87875239.01
06/11/1900,-0.1345,87822822.92
06/12/1900,-0.14,77510733.77
06/12/1900,0.032,81984298.22
06/01/1901,-0.3,90560575.81
06/01/1901,-0.1259,91460312.06
06/02/1901,-0.05,91525341.78
06/02/1901,-0.0741,85534701.15
06/03/1901,0.05,92185221.53
06/03/1901,-0.0327,85441808.58
06/04/1901,-0.06,82810961.04
06/04/1901,-0.0646,88118781.18
06/05/1901,-0.18,89170738.37
06/05/1901,-0.1248,81455325.23
06/06/1901,-0.1,89830652.74
06/06/1901,-0.1273,91441134.17
06/07/1901,-0.09,94208500.68
06/07/1901,-0.1563,86077486.92
06/08/1901,-0.13,81276629.54
06/08/1901,-0.1299,82368982.12
06/09/1901,-0.17,82041503.86
06/09/1901,-0.2059,81876149.77
06/10/1901,-0.29,84631043.18
06/10/1901,-0.2786,80732590.97
06/11/1901,-0.17,90113020.59
06/11/1901,-0.1425,81841868.13
06/12/1901,-0.3,82494703.17
06/12/1901,-0.2372,82748120.43
06/01/1902,-0.19,95068320.23
06/01/1902,-0.0856,94695902.93
06/02/1902,-0.03,90171599.47
06/02/1902,-0.0409,95578616.95
06/03/1902,-0.29,88948788.2
06/03/1902,-0.1954,99843707.17
06/04/1902,-0.27,98338713.78
06/04/1902,-0.2697,94565874.48
06/05/1902,-0.31,94399433.94
06/05/1902,-0.2616,91352538.09
06/06/1902,-0.34,96459773.71
06/06/1902,-0.3324,99937827.38
06/07/1902,-0.26,89916151.08
06/07/1902,-0.2902,89416779.36
06/08/1902,-0.28,95852170.29
06/08/1902,-0.2643,89821795.22
06/09/1902,-0.2,98461303.55
06/09/1902,-0.2315,96890056.42
06/10/1902,-0.27,99047670.03
06/10/1902,-0.2821,92855023.54
06/11/1902,-0.36,86930579.9
06/11/1902,-0.343,98506994.65
06/12/1902,-0.46,86564143.73
06/12/1902,-0.3592,94989682.89
06/01/1903,-0.27,93198912.13
06/01/1903,-0.2101,89680939.41
06/02/1903,-0.06,92821161.31
06/02/1903,-0.08,94014909.99
06/03/1903,-0.23,101963010.6
06/03/1903,-0.2755,100414285
06/04/1903,-0.39,94491808.29
06/04/1903,-0.354,87808346.94
06/05/1903,-0.41,97975022.42
06/05/1903,-0.3912,99348540
06/06/1903,-0.44,91065635.46
06/06/1903,-0.3759,88566710.11
06/07/1903,-0.3,90380351.4
06/07/1903,-0.334,99845178.69
06/08/1903,-0.44,91721902.74
06/08/1903,-0.4296,93309800.23
06/09/1903,-0.43,97988932.41
06/09/1903,-0.3756,86823976.42
06/10/1903,-0.42,94531478.58
06/10/1903,-0.4357,98715708.75
06/11/1903,-0.38,101066754.1
06/11/1903,-0.395,98281857.36
06/12/1903,-0.47,98946460.3
06/12/1903,-0.3861,99797654.36
06/01/1904,-0.64,108535481.3
06/01/1904,-0.5416,102185935.7
06/02/1904,-0.55,99488887.28
06/02/1904,-0.467,104019344.5
